timestamp,message
1736766548888,"{""time"":""2025-01-13T11:09:08.888Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""python:3.10.v46"",""runtimeVersionArn"":""arn:aws:lambda:eu-north-1::runtime:732ad977322a3d3b48316f22772d490c5a1f1898f80a758b6a1de53725c9e97d"",""functionName"":""cert6-OCSP-OCSPProxyFunction-XXX6d7bZ5vwu"",""functionVersion"":""$LATEST""}}"
1736766549224,"{""timestamp"": ""2025-01-13T11:09:09Z"", ""level"": ""INFO"", ""message"": ""Initialized HTTP client for region eu-west-1"", ""logger"": ""root"", ""requestId"": """"}
"
1736766549224,"{""timestamp"": ""2025-01-13T11:09:09Z"", ""level"": ""INFO"", ""message"": ""Initialized HTTP client for region eu-central-1"", ""logger"": ""root"", ""requestId"": """"}
"
1736766549224,"{""timestamp"": ""2025-01-13T11:09:09Z"", ""level"": ""INFO"", ""message"": ""Initialized HTTP client for region us-east-1"", ""logger"": ""root"", ""requestId"": """"}
"
1736766549224,"{""timestamp"": ""2025-01-13T11:09:09Z"", ""level"": ""INFO"", ""message"": ""Initialized HTTP client for region us-west-2"", ""logger"": ""root"", ""requestId"": """"}
"
1736766549224,"{""timestamp"": ""2025-01-13T11:09:09Z"", ""level"": ""INFO"", ""message"": ""Initialized HTTP client for region ap-southeast-1"", ""logger"": ""root"", ""requestId"": """"}
"
1736766549227,"{""time"":""2025-01-13T11:09:09.227Z"",""type"":""platform.start"",""record"":{""requestId"":""77e57160-b8c7-45f7-aae3-741dc427008e"",""version"":""$LATEST""}}"
1736766549228,"{""timestamp"": ""2025-01-13T11:09:09Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""77e57160-b8c7-45f7-aae3-741dc427008e""}
"
1736766550153,"{""timestamp"": ""2025-01-13T11:09:10Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:09:09.228449\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.39\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-east-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""77e57160-b8c7-45f7-aae3-741dc427008e""}
"
1736766550280,"{""timestamp"": ""2025-01-13T11:09:10Z"", ""level"": ""INFO"", ""message"": ""Request through us-east-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""77e57160-b8c7-45f7-aae3-741dc427008e""}
"
1736766550283,"{""time"":""2025-01-13T11:09:10.283Z"",""type"":""platform.report"",""record"":{""requestId"":""77e57160-b8c7-45f7-aae3-741dc427008e"",""metrics"":{""durationMs"":1055.509,""billedDurationMs"":1056,""memorySizeMB"":256,""maxMemoryUsedMB"":55,""initDurationMs"":338.367},""status"":""success""}}"
1736766562884,"{""time"":""2025-01-13T11:09:22.884Z"",""type"":""platform.start"",""record"":{""requestId"":""f89ff26d-f49d-46b0-8eab-b4ca4220ccd7"",""version"":""$LATEST""}}"
1736766562885,"{""timestamp"": ""2025-01-13T11:09:22Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""f89ff26d-f49d-46b0-8eab-b4ca4220ccd7""}
"
1736766562886,"{""timestamp"": ""2025-01-13T11:09:22Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:09:22.885548\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""213.162.193.244\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-east-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""f89ff26d-f49d-46b0-8eab-b4ca4220ccd7""}
"
1736766562954,"{""timestamp"": ""2025-01-13T11:09:22Z"", ""level"": ""INFO"", ""message"": ""Request through us-east-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""f89ff26d-f49d-46b0-8eab-b4ca4220ccd7""}
"
1736766562956,"{""time"":""2025-01-13T11:09:22.956Z"",""type"":""platform.report"",""record"":{""requestId"":""f89ff26d-f49d-46b0-8eab-b4ca4220ccd7"",""metrics"":{""durationMs"":71.053,""billedDurationMs"":72,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766799297,"{""time"":""2025-01-13T11:13:19.297Z"",""type"":""platform.start"",""record"":{""requestId"":""fc38e4a0-9b86-4f85-a60e-b8ff1f619f05"",""version"":""$LATEST""}}"
1736766799297,"{""timestamp"": ""2025-01-13T11:13:19Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""fc38e4a0-9b86-4f85-a60e-b8ff1f619f05""}
"
1736766799474,"{""timestamp"": ""2025-01-13T11:13:19Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:13:19.297993\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.41\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""fc38e4a0-9b86-4f85-a60e-b8ff1f619f05""}
"
1736766799598,"{""timestamp"": ""2025-01-13T11:13:19Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""fc38e4a0-9b86-4f85-a60e-b8ff1f619f05""}
"
1736766799599,"{""time"":""2025-01-13T11:13:19.599Z"",""type"":""platform.report"",""record"":{""requestId"":""fc38e4a0-9b86-4f85-a60e-b8ff1f619f05"",""metrics"":{""durationMs"":302.319,""billedDurationMs"":303,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766808430,"{""time"":""2025-01-13T11:13:28.430Z"",""type"":""platform.start"",""record"":{""requestId"":""36cceae1-919f-412b-91a9-eb5a1c8bce6b"",""version"":""$LATEST""}}"
1736766808431,"{""timestamp"": ""2025-01-13T11:13:28Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""36cceae1-919f-412b-91a9-eb5a1c8bce6b""}
"
1736766808431,"{""timestamp"": ""2025-01-13T11:13:28Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:13:28.431498\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.39\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""36cceae1-919f-412b-91a9-eb5a1c8bce6b""}
"
1736766808499,"{""timestamp"": ""2025-01-13T11:13:28Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""36cceae1-919f-412b-91a9-eb5a1c8bce6b""}
"
1736766808500,"{""time"":""2025-01-13T11:13:28.500Z"",""type"":""platform.report"",""record"":{""requestId"":""36cceae1-919f-412b-91a9-eb5a1c8bce6b"",""metrics"":{""durationMs"":69.483,""billedDurationMs"":70,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766817835,"{""time"":""2025-01-13T11:13:37.835Z"",""type"":""platform.start"",""record"":{""requestId"":""d4a43de5-7e33-450f-8c04-42bb3b4778d3"",""version"":""$LATEST""}}"
